marca,nombre_anuncio,categoria,harrisx_score,harrisx_rank,tiene_celebridad,es_ia,marco_ia,es_proposito_social,usa_humor,descripcion,descripcion_en,tier,num_atributos
Lay's,Last Harvest,Comida y Bebida,93.2,1,False,False,,False,False,"Historia multigeneracional de una familia agricultora, sin celebridades ni comedia, dirigida por Taika Waititi. 92% le gustó, 90% la recordó, 71% dijo que los hizo más propensos a comprar.","A multigenerational story about a farming family, no celebrities or comedy, directed by Taika Waititi. 92% liked it, 90% remembered it, 71% said it made them more likely to buy.",Alto desempeño,0
Ring,Be a Hero in Your Neighborhood,Tecnología / IA,91.8,2,True,True,caso_de_uso,False,False,"Debut de Ring con su función de IA 'Search Party' para encontrar mascotas perdidas, mostrada a través de un problema humano concreto, no la tecnología en abstracto.","Ring's debut featuring its 'Search Party' AI feature for finding lost pets, shown through a concrete human problem rather than the technology in the abstract.",Alto desempeño,2
Pepsi,The Choice,Comida y Bebida,87.2,3,False,False,,False,True,"Un oso polar (referencia visual al oso de Coca-Cola) hace una prueba a ciegas y elige Pepsi, luego lidia con la disonancia en el diván de un psiquiatra. El anuncio más mencionado en redes.","A polar bear (a visual reference to the Coca-Cola bear) takes a blind taste test and picks Pepsi, then deals with the fallout on a psychiatrist's couch. The most-mentioned ad on social media.",Alto desempeño,1
Google,New Home,Tecnología / IA,86.8,4,False,True,caso_de_uso,False,False,"Gemini de Google mostrado durante el proceso estresante de comprar una casa, ancla la IA a un momento de vida universalmente entendido.","Google's Gemini shown during the stressful process of buying a home, anchoring AI to a universally understood life moment.",Alto desempeño,1
Blue Square Alliance Against Hate,Sticky Note,Causa Social,85.4,5,False,False,,True,False,"Fundada por el dueño de los Patriots, aborda el antisemitismo con una nota adhesiva y una estadística real sobre adolescentes judíos.","Founded by the Patriots' owner, addresses antisemitism through a sticky note and a real statistic about Jewish teens.",Alto desempeño,1
Dove,The Game Is Ours,Belleza y Cuidado Personal,85.0,6,False,False,,True,False,"Enfocado en la participación de niñas en el deporte, extiende la plataforma de propósito de Dove sobre confianza corporal.","Focused on girls' participation in sports, extending Dove's long-running purpose platform around body confidence.",Desempeño medio,1
Novartis,Relax Your Tight End,Salud y Bienestar,83.8,7,True,False,,True,True,Segundo año consecutivo en el Top 10. Usa humor con temática de fútbol americano para promover el examen de próstata.,Second consecutive Top 10 finish. Uses football-themed humor to promote prostate cancer screening.,Desempeño medio,3
Budweiser,American Icons,Comida y Bebida,83.6,8,False,False,,False,False,"150 aniversario, Clydesdales junto a un águila calva, con 'Free Bird' de Lynyrd Skynyrd. Ganó el AdMeter de USA Today (#1) pero quedó 8vo en HarrisX.","150th anniversary spot pairing the Clydesdales with a bald eagle, set to Lynyrd Skynyrd's 'Free Bird.' Won USA Today's AdMeter (#1) but placed 8th in HarrisX.",Desempeño medio,0
Xfinity,Jurassic Park...Works,Tecnología / IA,82.5,9,False,False,,False,True,Usa la nostalgia de Jurassic Park para argumentar confiabilidad de red.,Uses Jurassic Park nostalgia to make a network-reliability argument.,Desempeño medio,1
NFL,You Are Special,Causa Social,82.0,10,False,False,,True,False,Segundo año consecutivo en el Top 10. Enfocado en participación juvenil y mentoría comunitaria.,Second consecutive Top 10 finish. Focused on youth participation and community mentorship.,Desempeño medio,1
Pringles,Pringleleo,Comida y Bebida,78.5,22,True,False,,False,True,Sabrina Carpenter construye a su hombre ideal con Pringles. #1 entre Gen Z (94.8) pero solo 22vo en general — la mayor divergencia generacional del año.,Sabrina Carpenter builds her ideal man out of Pringles chips. #1 with Gen Z (94.8) but only 22nd overall — the year's biggest generational divergence.,Desempeño medio,2
MAHA Center Inc.,Health Awareness,Causa Social,75.1,31,True,False,,True,False,"Con Mike Tyson. 74% de aprobación general, con solo 12 puntos de diferencia entre republicanos y demócratas.","Featuring Mike Tyson. 74% overall approval, with only a 12-point gap between Republicans and Democrats.",Desempeño medio,2
State Farm,Stop Livin' on a Prayer,Seguros,75.0,34,True,False,,False,True,"Formato con múltiples celebridades (Bon Jovi, Hailee Steinfeld, KATSEYE) apuntando a un competidor. Score estimado medio-70s.","Multi-celebrity format (Bon Jovi, Hailee Steinfeld, KATSEYE) aimed at a competitor. Estimated score in the mid-70s.",Bajo desempeño,2
Invest America,Trump Accounts,Finanzas,70.1,44,False,False,,True,False,"Promueve cuentas de inversión infantil. 75% de aprobación general, con 15 puntos de diferencia entre partidos.","Promotes children's investment accounts. 75% overall approval, with a 15-point gap between parties.",Bajo desempeño,1
Anthropic,Can I Get a Six Pack Quickly?,Tecnología / IA,65.0,67,False,True,capacidad,False,False,42% de la audiencia reportó confusión sobre qué se estaba anunciando. Enfatizó la capacidad técnica de Claude en vez de un caso de uso claro. Score estimado con base en su posición (puesto 67 de 70).,42% of the audience reported confusion about what was being advertised. Emphasized Claude's technical capability rather than a clear use case. Score estimated from its position (67th of 70).,Bajo desempeño,1
